analysis,sentiment
Pakistan 338/4 Mohammad Amir ki kamaal ki Bowling 3wickets in hand For Indian players in team Hats off to Pakistan best Performance Congratulations Pakistanis Players in team Pakistan 338-4 India 158-10 MY NAME IS SABRINA KHAN FROM USA 🇺🇸 DALLAS TEXAS state,POSITIVE
Brilliant  performance  by Pakistan  wow win by 180 runs well done  Pakistan  congratulations,POSITIVE
Great to watch India's best bowler Bhumrah being smashed to all corners!,POSITIVE
Sarfaraz was a great captain,POSITIVE
Congratulations my Dear Pakistan,POSITIVE
If India win this trophy video will reach 100m+ views,POSITIVE
"Who is watching this match after winning the india champion  2025 
10 3 2025",POSITIVE
This Pakistan is much better than current Pakistan team,POSITIVE
Ye match dekh kr sakoon Mila qasam sy ab tu hum harte hi h,NEGATIVE
When these 2 play each other - never a disappointment,POSITIVE
Insh Allah ye lark Pakistan ka nam Roshan kre ga.,NEGATIVE
I can't believe it  what a fantastic cricket by sarfar 11 but i m shocked what did rizwan 11 how can they forget their performances specially fakhar zaman babar azam n so many names on other side Indian players have more polished may be rohit is same who bold in 2017 on zero virat is same pandiya is same then why guys u can't fight with them,NEGATIVE
"If hardik would be there, this match result might be something else.",NEGATIVE
Superb and flawless performance and a big win by team Pakistan demolished India.,POSITIVE
I love Pakistan from Bangladesh,POSITIVE
Who is watching in Ramadan,POSITIVE
India almost same squad still they are playing in 2025 champion trophy,POSITIVE
"man Hardik Pandya was absolutely going for it, he is a very dangerous batsman and got run out.. he was so upset and rightly so. Where is this Pakistan now?",NEGATIVE
Ao Pakistan has defeated india in the final in 2017 well done.,POSITIVE
"Jo dogs khaithe hain ke Amir fixer hai ,in ko ye din yaad delao ke , champion trophy  main 3 main wickets kis me Le the , aap khaithe hain ke Shaheen barh chhr hai amir se ,to Shaheen ka India ke khilaf 6 se kyeun istaqbal hota hai, Amir is king

Amir ke fan entry maro ,replay main",POSITIVE
"shaheen, haris, naseem, faheem <<<< Amir",POSITIVE
"if pandya leads India team, no one compete them",NEGATIVE
Afghanistan,NEGATIVE
brilliant batting hardik pandia at that time kash aisi cricket team abi mil jay,POSITIVE
Who is watching this match after pak ind war 2025,POSITIVE
Ye match jitni bar Dekho dil nahi bharta,NEGATIVE
Is k bad koi captain esa nae Aya jisny Asia cup tk b jeta ho nothing Weldon serfaraz,NEGATIVE
They were all young and energetic,POSITIVE
Win by 180 what a Lead wonderful  always bowling reason for the winning Games,POSITIVE
Furious Faqar Zaman Fired the Indians.,NEGATIVE
20 bar dakha chucka hon phr bhe dil nhi bharta,NEGATIVE
world best batting line destroyed by young bowlers :P,NEGATIVE
اب اس۔میچ۔کو۔دیکھ۔کر۔دل۔بھلا۔لیتے۔ہیں۔نئی۔خوشی۔تو۔نصیب۔نہیں,NEGATIVE
Saifi bhai,POSITIVE
that was golden age for Pakistan,POSITIVE
Muhammad amir best bowler in the world,POSITIVE
Azhar Ali Shoaib Malik and Muhammad hafeez ye sab k hoty Hoye time achi thi q k ye younas Khan ki banai hoi time thi,NEGATIVE
Ye team aj hota to india ki yahi halat hota jo 2017 mai hua tha🇵🇰🇵🇰,NEGATIVE
"2017 team like play  every thing possible  and current team played continue 2022 wc T20 final lost after thise team played like broken heart  very easy 
This like match see again  specially icc events  yyyaaaarr what I am saying",NEGATIVE
Where this Pakistan I'm searching so poor cricket Pakistan now,NEGATIVE
Amir is just a monster to every batsman,NEGATIVE
"Amir used to dominate peak Sharma and Kohli, whereas Shaheen and Rauf are getting their ass kicked by retirement nearing sharma and kohli",NEGATIVE
I love Pakistan,POSITIVE
Miss you a lot Safii Bhaii and Amir The Legend,POSITIVE
amir k mukaably ka koi nai. ager amir ko team se na nikaalty to koi bhee match na hartu,POSITIVE
INSHA'ALLAH IS BAR BHI PAKISTAN JEETEGA,NEGATIVE
A Gaya Maja,NEGATIVE
Love Pakistan 🇵🇰🇵🇰🇵🇰🇵🇰🇧🇩,POSITIVE
BSs ab ye match Dekh ke hi sukoon milta he,NEGATIVE
Who is watching this match in 13-03-2025 ?,NEGATIVE
"Hardik Pandya could have finished this match in less than 40 overs if there was no run out ..
Lucky runout for Pakistan.",NEGATIVE
Allah pak ham sab per riham frmay  ya Allah pak phir sa asy team ata frma ameen,NEGATIVE
Fauji ko EK chance mil jai phir chhorta Nahin hai,POSITIVE
"India will remember this Whole Life 
And 152. 0",POSITIVE
Mohammad amir my favorite bowler. He is very dangerous bowler,POSITIVE
"Can't believe Pakistan use to perform amazingly in the big matches. Also, it is hard to believe Pakistani openers can go for this kind of strong partnership. They look aggressive and keen to win, unlike today's useless cricketers.",POSITIVE
Operation sohagraatke baad yeh match kon kon dekha,NEGATIVE
রহিত কনো খানাই পাইনি ২০১৭ আই সি সি চেম্পিয়ন ট্রফিতে,NEGATIVE
India beat pak in this tournament 246 but the if dhon out on 5 and virht on 5 rohit 0 sheker on 5 its was Pakistan best ever defeat india in final tournament,POSITIVE
Who's watching 15 June 2025,POSITIVE
Yeh match tha Jo ab bhi yaad ata hai,POSITIVE
India surely loved that chase!,POSITIVE
"Here is The one and only Professor Hafeez a sharp and eagle minded was the turning point of the Pakistan again to win the ODI champion trophy tournament 
If you agree",POSITIVE
Agr pandya run out na HOTA to ye match b Pakistan k hath sy Nikal jata,NEGATIVE
Me enjoying and forgot bad memory 2025 pakistan performance,POSITIVE
Sarfaraz ka time ta hus time pura team chalata ta amir jasa bolaar ta sab sai menat karta ta,NEGATIVE
India 🇮🇳 won the match today Champions trophy final 2025,POSITIVE
Watching 2025 king off md amir ️‍,POSITIVE
2025  mai india ny badla ly liya.,NEGATIVE
Yaadein yaad aati Hain 🥹,NEGATIVE
Amir is brand,POSITIVE
I am wasching for this match 2025 may,NEGATIVE
Pakistan Army vs Indian Army,NEGATIVE
Ajao mere bacho ya tha asal Pakistan team ka face meri jan asi team dobara hojaye tw kia bat ha,NEGATIVE
Sarfarz Jo pressure aik side sa bana kr rakhta wo ye ta k mushkil waqt silip lazmi leta ta,NEGATIVE
Who is Here After India 🇮🇳 Winning Champions Trophy  2025,POSITIVE
What a class of bowling by Aamir,POSITIVE
O bai is match se Bahar aa jao bht time ho gya ab..modern cricket khelo jo duniya khel rahi hai,POSITIVE
"Punjabi bowling + pathan batting 
Unbeatable",POSITIVE
wallha i miss this match we miss this also time in new west camp,NEGATIVE
Kya team thi yaar,POSITIVE
"great bowler can beat great batsman, only amir can out kohli",POSITIVE
Jab team ka leader experience Wala ho to phr result bhi aaisa hi aata hai,NEGATIVE
This middle order with Muhammad hafeez,POSITIVE
I felt sorry for pandya as he was playing,NEGATIVE
Miss u Sarfaraz bhai,NEGATIVE
Indian team 6 batsman 3 best all rounder,POSITIVE
Pakistan in his prime ️,POSITIVE
This is what happens when INDIA played on totally neutral venue,NEGATIVE
Danger  team pakistan india Ko BHT pita tha,NEGATIVE
Now a days india can easily beat Pakistan like Bangladesh,POSITIVE
Mashallah,NEGATIVE
Love you Pakistan,POSITIVE
Wonderful win by Pakistan,POSITIVE
15 :00 amir celebration,POSITIVE
No kidding we got lucky if Hardik stayed 20 more minutes he would have made a 100 more runs,NEGATIVE
Ups and downs are part of life,POSITIVE
o jan chor do bhai ab 2017 guzrat b 7 sal ho gy,NEGATIVE
This was prime Pakistan,POSITIVE
Maza Agya,POSITIVE
Kash Pakistan phele jese batting or blowing karne laghe,NEGATIVE
Best of luck for upcoming match,POSITIVE
Beshak Allah sub se Bada h,NEGATIVE
I went to toilet after pandiya when i came back match was finished,NEGATIVE
2025  champions trophy maza hi nahi aya. Sab players injured thay.. India pakistan nahi aya dar kay. Dubai main series khail raha tha aur trophy  lay gaya baro bar  Pakistaniyo maza agaya pehlay round main bahir ho kar india ka khawab toot gaya final main haranay ka.,NEGATIVE
Amir tiger h Kash is ki qadar krty,POSITIVE
looking at the bowling stats! 30 Overs and 3 Extras ONLYYYY! Damn. Pakistani,NEGATIVE
Pakistan 🇵🇰 Big Father Off India 🇮🇳,NEGATIVE
V good win from Pakistan,POSITIVE
Bohat Maza aya,POSITIVE
পাকিস্তানের এই খেলোোয়ারদের অনেক মিস করি,POSITIVE
Inshallah today win Pakistan same inshallah I love you Pakistan 🇵🇰 zindabad,POSITIVE
Babar Azam ky dilkash shots bhi thy,POSITIVE
Ye Hoti team Pakistan jeet jata,POSITIVE
"Sat in Dubai 
Ready for tomorrow 
Bring on the big boys!",POSITIVE
What a greatest match was it?,POSITIVE
M Amir real King,POSITIVE
Who's watching on 13 May 2025,POSITIVE
When there is no politics in cricket,NEGATIVE
Jadeja run out to hardik pandya was very disappointing//,NEGATIVE
Ab kab mile ga esa match dekh ne ko brother,NEGATIVE
Great knock by sarfraz and team,POSITIVE
Ham na mach tab dahkta jab Ham amazon ka kam Kart ta bahi majid ka pass bahi majid bi won,POSITIVE
I'm watching in2025 but 27 feb2019,NEGATIVE
Kohli ki wicket aur winning moment dikhaya hi nahin.,POSITIVE
pakistan cricket is the best one mintue down next mintine up,POSITIVE
Who is here after CT 2025 Final?,NEGATIVE
Aamir. Srfraz. Imaad agr 2025ki champion trophy tk khel lete to koi gunah hojata shyd baqi hr team k 2017 wale aged plyers team m hen Lekin pak ko njanay konci nfrat Hy in teeno s hmesha,NEGATIVE
This match original man of the match Amir,POSITIVE
They were all young and beautiful shot,POSITIVE
Fine margins- 1 No Ball cost India,POSITIVE
Muhammad amir,POSITIVE
ابھی 2025 میں پاکستان کا ٹیم کچھ بھی نہیں,POSITIVE
One of the best match ever Pakistan cricket team win,POSITIVE
24 karod log jindabad,NEGATIVE
Only win in last 10 years,POSITIVE
Old is gold,NEGATIVE
Thanks sarfraz Ahmad,POSITIVE
Kon kon Pakistan CT 2025 eliminate k baad Aya hai,NEGATIVE
8 saal hogye yaar,NEGATIVE
Amir is the match  winner....,POSITIVE
Fakhar in his prime ️,POSITIVE
This video show the pakistani present player than may be they get falm back,NEGATIVE
Dhoni will never play when someone else is a captain,NEGATIVE
the moment India lost,NEGATIVE
🇵🇰🇵🇰,NEGATIVE
Who is watching 1 June 2025,POSITIVE
"Amazing performance by Pakistan.
Unfortunately ab ki lanti team mai sub manhoos pese ke liay khelte hain.
Mulk ke liay koi nahi khel raha",POSITIVE
I love you Pakistan i love you Pakistan zinda bas 🇵🇰🇵🇰🇵🇰️️🇵🇰🇵🇰🇵🇰🇵🇰️️️️,POSITIVE
Balochistan️🇩🇯.          Pakistan,POSITIVE
Who is watching in 2025 march ?,NEGATIVE
Pakistan 🇵🇰,POSITIVE
Jb sa sarfraz ko team sa nikala h Allah ki bad dua Pakistani team pr....ya sa pandoo eleven ki wajha sa ho rha h.,NEGATIVE
Amir good player,POSITIVE
Azhar Ali some shorts same like Javed Miandad,NEGATIVE
Pakistan 🇵🇰,POSITIVE
Brilliant victory by Pakistan,POSITIVE
Afghanistan,NEGATIVE
Afghanistan,NEGATIVE
Again watching 24.4.25,POSITIVE
I love Pakistan,POSITIVE
I love Pakistan,POSITIVE
I just miss you m amir,POSITIVE
23feb ko b aisa ho to mza,NEGATIVE
Yara itne ache khlne wale sub nikaal dyie,NEGATIVE
Miss u amir,NEGATIVE
Muhammad Amir...,POSITIVE
fakhar zaman wahhhhhhh kmaaalllllll,NEGATIVE
Brilliant  Pakistan,POSITIVE
Kabhi Pakistan Kee bhi team hoty thee,POSITIVE
Hardik pandya like Maxwell,POSITIVE
I am watching 2025,POSITIVE
Azharthe real hero,POSITIVE
Sarfraz was a good captain,POSITIVE
Hardick pandya,POSITIVE
Lol. Purani performance dhaik kur he khush hotay roho,POSITIVE
Who's watching 2026,POSITIVE
VOTE FOR SECOND MARRIAGE PRANK ON EMAN ️,NEGATIVE
Afghanistan,NEGATIVE
Who are watching in2025,POSITIVE
Amir,POSITIVE
adha pakistan 2 din se yei dekh ra hai,POSITIVE
Yeh bhi kya din they jub sarfraz jaisa azeem player humra captain tha aj Pakistan team me khusre pai jate hai,POSITIVE
Whi is watching.....in ramzan,POSITIVE
Who is watching in 2025 29 may,POSITIVE
how can pakistaan win?????????,NEGATIVE
Ye players achy thy sb islye match Jeet jaty thy pehly,NEGATIVE
Ab to yahi match dhk or Khush ho sktay hain,NEGATIVE
Ya team abi hona cheya tah India k leya,NEGATIVE
Isallah Pakistan Geet Ga,NEGATIVE
MOHAMMED AMIR,POSITIVE
After India won ct 2025,POSITIVE
Ye team kha gai yee energy kidher gai,POSITIVE
Father day Indians ko Mubarak,NEGATIVE
No one is parallel to Amir,NEGATIVE
Taht was the kast tjme Pakistan won odi match vs indai,POSITIVE
King Amir,POSITIVE
Bring this team back,POSITIVE
M amir,POSITIVE
Ye players abi kidar ho ga,POSITIVE
who is watching this in 2025,POSITIVE
Alhumdulillah,POSITIVE
King  Amir,POSITIVE
Fakhr zaman,POSITIVE
Commentator ki commentary se lag rha hai kitni jalan hrhi h,NEGATIVE
Haffez was chucking in this match,NEGATIVE
Pakistan ny pora baans kardeyaa thaa,NEGATIVE
Amir is king,POSITIVE
Miss you safi and king amir,POSITIVE
Never ever forget this match,POSITIVE
Pakistan man off the match amir,POSITIVE
First and last win by Pakistan,POSITIVE
Main to edit b bohat karta hoon lekan pir b strike ajata h,NEGATIVE
Pandya samaj rha tha may match jeetwa du ga lol,NEGATIVE
Who is watching in 2025 march,POSITIVE
Kash hm aisa pr krley,NEGATIVE
Ha india walo din Ma tary dikha diy pakistan na,NEGATIVE
"Sarfaraz ko wapis Lao, pak cricket ko bacchao",NEGATIVE
Fakhar Brand,POSITIVE
Captain reliable 2.0,POSITIVE
1 millionth view,POSITIVE
2025 me yehe dekh k khush ho lo,POSITIVE
Best selection team Pakistan,POSITIVE
this is good better then today match,POSITIVE
Yeh bh din the bhae,POSITIVE
jio Patwari Chite,NEGATIVE
Mohammed Aamir come back please,POSITIVE
صحیح بول رھےھو آپ,NEGATIVE
Kya he din thy,NEGATIVE
Ye thi India ki auqat,POSITIVE
Ap salmal hota To 5k lahta taska pat mr dost pass bi ha,NEGATIVE
Bhai Jan JB ap ne ye video upload ki thi us SE pehle kitne subscriber thee ap ke,NEGATIVE
Bhai mujhy b details BTA do k kesay video upload ki jati h???,NEGATIVE
Bss ye aggression chiye,NEGATIVE
Memories,POSITIVE
Best Champion Trophy Ever🥹🥹,POSITIVE
Yr copyright sy bachny k liye kya kry matlab kesi editing kry k copyright na aye cricket ki videos py,NEGATIVE
Fakhar Zaman,POSITIVE
Ameen,POSITIVE
Mood off tha mza agya,NEGATIVE
King M.Amir,POSITIVE
"ilove,Pakistan🇵🇰🇵🇰🫡️🇵🇰",POSITIVE
Bhai Aap ko strike ni aya???,NEGATIVE
we need sarfaraz,NEGATIVE
Kash ye player hmsha rehty,POSITIVE
"Whole india
Meanwhile Pandya",POSITIVE
. Miss you fakhar zaman,POSITIVE
